file	n_ex	numbering	ital_names	bold_names	tags	nested_subitems	inline_letter_marks	cites	xrefs
chapter_recurrent-modern/test-time-regression.md	6	repeated-1	0	6	-	0	2	0	9
chapter_attention/attention-at-scale.md	6	repeated-1	0	0	-	0	0	0	7
chapter_attention/attention-scoring.md	6	repeated-1	0	0	-	0	0	0	1
chapter_attention/multihead-attention.md	6	sequential	0	0	-	0	0	0	2
chapter_attention/positional-information.md	6	sequential	0	0	-	0	0	0	0
chapter_attention/queries-keys-values.md	6	repeated-1	0	0	-	0	0	1	1
chapter_attention/what-attention-computes.md	6	sequential	0	0	-	0	0	0	3
chapter_transformers/encoders-decoders.md	6	sequential	0	0	-	0	0	1	1
chapter_transformers/gpt.md	6	sequential	0	0	-	0	0	1	2
chapter_transformers/kv-cache.md	6	sequential	0	0	-	0	0	0	0
chapter_transformers/moe.md	6	sequential	0	0	-	0	1	1	0
chapter_transformers/scaling-laws.md	6	sequential	0	0	-	0	0	2	4
chapter_transformers/transformer-block.md	6	sequential	0	0	-	0	0	1	1
chapter_transformers/vision-transformer.md	5	repeated-1	0	0	-	0	0	0	1
chapter_optimization/adam.md	9	repeated-1	0	0	-	0	0	3	3
chapter_optimization/adamw.md	6	repeated-1	0	0	-	0	0	1	2
chapter_optimization/batch-size.md	6	repeated-1	0	0	-	0	4	0	4
chapter_optimization/gd.md	5	repeated-1	0	0	-	6	0	0	0
chapter_optimization/lr-scheduler.md	6	repeated-1	0	0	-	0	0	3	1
chapter_optimization/minibatch-sgd.md	5	repeated-1	0	0	-	0	0	0	0
chapter_optimization/momentum.md	5	repeated-1	0	0	-	0	0	0	2
chapter_optimization/muon.md	6	repeated-1	0	0	-	0	0	1	6
chapter_optimization/optimization-intro.md	8	mixed	0	0	-	8	0	1	0
chapter_optimization/practice.md	6	repeated-1	0	0	-	0	0	2	7
chapter_optimization/scaling.md	4	repeated-1	0	0	-	0	0	1	2
chapter_optimization/sgd.md	6	repeated-1	0	0	-	0	0	0	0
chapter_computational-performance/compilation.md	5	repeated-1	0	0	-	0	0	0	1
chapter_computational-performance/fast-transformer.md	8	repeated-1	0	0	-	0	0	0	6
chapter_computational-performance/hardware.md	8	repeated-1	0	0	-	0	2	0	7
chapter_computational-performance/memory-precision.md	10	mixed	0	0	-	0	0	0	4
chapter_computational-performance/multi-gpu-practice.md	6	repeated-1	0	0	-	0	0	0	3
chapter_computational-performance/multiple-gpus.md	5	repeated-1	0	0	-	0	0	0	7
chapter_computational-performance/performance-model.md	5	repeated-1	0	0	-	0	0	0	1
chapter_computer-vision/anchor.md	12	mixed	0	0	-	0	0	1	2
chapter_computer-vision/bounding-box.md	2	repeated-1	0	0	-	0	0	0	0
chapter_computer-vision/fcn.md	8	mixed	0	0	-	0	0	1	0
chapter_computer-vision/fine-tuning.md	8	mixed	0	0	-	0	0	0	0
chapter_computer-vision/image-augmentation.md	3	repeated-1	0	0	-	0	0	0	0
chapter_computer-vision/kaggle-cifar10.md	2	repeated-1	0	0	-	0	0	0	0
chapter_computer-vision/kaggle-dog.md	2	repeated-1	0	0	-	0	0	0	0
chapter_computer-vision/multiscale-object-detection.md	3	repeated-1	0	0	-	0	0	0	2
chapter_computer-vision/neural-style.md	4	repeated-1	0	0	-	0	0	1	0
